Network Size,Avg Path Length (hops),Avg Routing Cost,Routing Table Entries,Computation Time (ms),Entries Changed After Topology Change,Recompute Time After Change (ms)
10,2.18,22.91,90,0.374,6,0.326
20,2.86,26.31,380,1.222,58,1.289
50,4.21,30.92,2450,8.304,121,8.450
100,4.77,40.34,9900,33.175,282,33.725
